시설년도,위치코드,시설구분1,쉼터명칭,도로명주소,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2025,1111058000,생활밀착민간시설,교남동새마을금고본점,서울특별시 종로구 송월길 147 (동아아파트),126.962089,37.571433,196650.899,552432.9842
2025,1111058000,특정계층이용시설,은행나무경로당,서울특별시 종로구 통일로12길 60 (행촌동),126.9619131,37.5749442,196635.5177,552822.693
2025,1111058000,공공시설,교남동주민센터,서울특별시 종로구 송월길 154 (행촌동),126.961963,37.571916,196639.7897,552486.596
2025,1111058000,특정계층이용시설,교남경로당,서울특별시 종로구 사직로2길 8,126.9645796,37.572533,196870.9675,552554.9855
2025,1120052000,공공시설,왕십리제2동주민센터,서울특별시 성동구 무학봉15길 6 (하왕십리동),127.0309773,37.5617588,202736.9239,551359.0367
2025,1120052000,특정계층이용시설,무학봉경로당(행당1동관리),서울특별시 성동구 무학봉18길 4-2,127.031761,37.5611838,202806.1874,551295.2415
2025,1120053500,특정계층이용시설,청계벽산(아)홍익동경로당,서울특별시 성동구 무학로 50 (벽산아파트 관리사무소),127.032558,37.569291,202876.2932,552195.0698
2025,1120053500,특정계층이용시설,청계대주(아)경로당,서울특별시 성동구 무학로12길 11 (청계대주파크빌 101동),127.031559,37.567312,202788.1117,551975.3937
2025,1120053500,특정계층이용시설,도선장수경로당,서울특별시 성동구 무학로6길 50 (성동삼성쉐르빌 103동),127.034907,37.564448,203084.0122,551657.6279
2025,1120053500,특정계층이용시설,미소경로당,서울특별시 성동구 마장로 137 (텐즈힐 202동),127.024038,37.570093,202123.5824,552283.8557
2025,1120053500,특정계층이용시설,희망경로당,"서울특별시 성동구 마장로 137 (텐즈힐 214동, 403동(상가))",127.025543,37.568966,202256.5722,552158.807
2025,1120053500,특정계층이용시설,텐즈힐열린경로당,서울특별시 성동구 무학로 33 (텐즈힐 115동),127.028931,37.567601,202555.9285,552007.3946
2025,1120053500,특정계층이용시설,텐즈힐행복경로당,서울특별시 성동구 무학로 33,127.026508,37.569633,202341.8033,552232.8598
2025,1120053500,특정계층이용시설,센트라스(아)제1경로당,서울특별시 성동구 왕십리로 410 (센트라스 101동),127.025549,37.567219,202257.155,551964.9105
2025,1120053500,특정계층이용시설,청계벽산(아)경로당,서울특별시 성동구 무학로 50 (벽산아파트 관리사무소),127.031081,37.568751,202745.8295,552135.0919
